"run";"gen";"mr";"ad";"divM1_10";"divM2_10";"divM3_10";"divM4_10";"divM5_10";"divM6_10";"divM10_mean";"divF1_10";"divF2_10";"divF3_10";"divF4_10";"divF5_10";"divF6_10";"divF10_mean";"divT1_10";"divT2_10";"divT3_10";"divT4_10";"divT5_10";"divT6_10";"divT10_mean";"divM1_20";"divM2_20";"divM3_20";"divM4_20";"divM5_20";"divM6_20";"divm20_mean";"divF1_20";"divF2_20";"divF3_20";"divF4_20";"divF5_20";"divF6_20";"divF20_mean";"divT1_20";"divT2_20";"divT3_20";"divT4_20";"divT5_20";"divT6_20";"divT20_mean";"divM1_30";"divM2_30";"divM3_30";"divM4_30";"divM5_30";"divM6_30";"divM30_mean";"divF1_30";"divF2_30";"divF3_30";"divF4_30";"divF5_30";"divF6_30";"divF30_mean";"divT1_30";"divT2_30";"divT3_30";"divT4_30";"divT5_30";"divT6_30";"divT30_mean";"divM1_50";"divM2_50";"divM3_50";"divM4_50";"divM5_50";"divM6_50";"divM50_mean";"divF1_50";"divF2_50";"divF3_50";"divF4_50";"divF5_50";"divF6_50";"divF50_mean";"divT1_50";"divT2_50";"divT3_50";"divT4_50";"divT5_50";"divT6_50";"divT50_mean"
1;15;0;0;0,7;1;1;1;0,9;1;0,933333333333333;0,9;0,8;0,8;1;1;0,9;0,9;0,888888888888889;0,933333333333333;0,911111111111111;0,933333333333333;1;0,866666666666667;0,922222222222222;0,955555555555556;0,888888888888889;0,977777777777778;0,911111111111111;0,933333333333333;0,933333333333333;0,933333333333333;0,844444444444444;0,622222222222222;0,888888888888889;0,844444444444444;0,911111111111111;0,822222222222222;0,822222222222222;0,905263157894737;0,9;0,931578947368421;0,963157894736842;0,936842105263158;0,931578947368421;0,928070175438596;0,942857142857143;0,942857142857143;0,942857142857143;0,952380952380952;0,923809523809524;0,952380952380952;0,942857142857143;0,895238095238095;0,847619047619048;0,857142857142857;0,923809523809524;0,923809523809524;0,847619047619048;0,882539682539683;0,914942528735632;0,91264367816092;0,905747126436782;0,947126436781609;0,947126436781609;0,926436781609195;0,925670498084291;0,946666666666667;0,95;0,936666666666667;0,963333333333333;0,93;0,933333333333333;0,943333333333333;0,876666666666667;0,703333333333333;0,816666666666667;0,84;0,896666666666667;0,853333333333333;0,831111111111111;0,933877551020408;0,937142857142857;0,929795918367347;0,939591836734694;0,941224489795918;0,92;0,933605442176871
2;15;0;0;0,9;0,9;1;1;0,9;0,9;0,933333333333333;0,9;0,9;0,9;0,9;1;1;0,933333333333333;0,977777777777778;0,911111111111111;0,977777777777778;0,866666666666667;0,933333333333333;0,911111111111111;0,92962962962963;0,911111111111111;0,955555555555556;0,933333333333333;0,955555555555556;0,911111111111111;0,955555555555556;0,937037037037037;0,888888888888889;0,8;0,844444444444444;0,711111111111111;0,933333333333333;0,844444444444444;0,837037037037037;0,910526315789474;0,957894736842105;0,831578947368421;0,947368421052632;0,952631578947368;0,931578947368421;0,921929824561403;0,961904761904762;0,904761904761905;0,961904761904762;0,952380952380952;0,942857142857143;0,952380952380952;0,946031746031746;0,952380952380952;0,828571428571429;0,809523809523809;0,895238095238095;0,933333333333333;0,885714285714286;0,884126984126984;0,958620689655172;0,942528735632184;0,949425287356322;0,903448275862069;0,92183908045977;0,926436781609195;0,933716475095785;0,953333333333333;0,893333333333333;0,93;0,94;0,956666666666667;0,926666666666667;0,933333333333333;0,883333333333333;0,9;0,793333333333333;0,82;0,886666666666667;0,88;0,860555555555556;0,935510204081633;0,935510204081633;0,920816326530612;0,909387755102041;0,941224489795918;0,90530612244898;0,924625850340136
3;15;0;0;0,9;0,6;0,7;0,9;1;0,9;0,833333333333333;0,9;0,9;0,9;0,9;1;0,8;0,9;0,933333333333333;0,933333333333333;0,933333333333333;0,955555555555556;0,977777777777778;0,888888888888889;0,937037037037037;0,888888888888889;0,977777777777778;0,933333333333333;0,955555555555556;0,933333333333333;0,955555555555556;0,940740740740741;0,866666666666667;0,866666666666667;0,777777777777778;0,844444444444444;0,844444444444444;0,955555555555556;0,859259259259259;0,942105263157895;0,947368421052632;0,884210526315789;0,957894736842105;0,889473684210526;0,947368421052632;0,928070175438596;0,952380952380952;0,923809523809524;0,942857142857143;0,961904761904762;0,904761904761905;0,942857142857143;0,938095238095238;0,895238095238095;0,933333333333333;0,780952380952381;0,847619047619048;0,638095238095238;0,857142857142857;0,825396825396825;0,926436781609195;0,919540229885057;0,926436781609195;0,889655172413793;0,935632183908046;0,903448275862069;0,916858237547893;0,916666666666667;0,94;0,943333333333333;0,87;0,89;0,926666666666667;0,914444444444445;0,77;0,906666666666667;0,866666666666667;0,873333333333333;0,85;0,833333333333333;0,85;0,924081632653061;0,92734693877551;0,926530612244898;0,938775510204082;0,933061224489796;0,902857142857143;0,925442176870748
4;15;0;0;0,9;0,9;1;1;1;1;0,966666666666667;0,9;0,9;0,9;0,9;0,9;0,6;0,85;0,955555555555556;0,866666666666667;0,955555555555556;0,911111111111111;0,911111111111111;0,955555555555556;0,925925925925926;0,888888888888889;0,866666666666667;0,977777777777778;0,844444444444444;0,911111111111111;0,911111111111111;0,9;0,888888888888889;0,866666666666667;0,733333333333333;0,955555555555556;0,866666666666667;0,666666666666667;0,82962962962963;0,952631578947368;0,921052631578947;0,942105263157895;0,952631578947368;0,905263157894737;0,847368421052631;0,920175438596491;0,923809523809524;0,99047619047619;0,942857142857143;0,914285714285714;0,933333333333333;0,933333333333333;0,93968253968254;0,904761904761905;0,847619047619048;0,838095238095238;0,942857142857143;0,704761904761905;0,847619047619048;0,847619047619048;0,944827586206897;0,905747126436782;0,924137931034483;0,919540229885057;0,937931034482759;0,951724137931035;0,930651340996169;0,94;0,953333333333333;0,96;0,91;0,973333333333333;0,95;0,947777777777778;0,926666666666667;0,776666666666667;0,883333333333333;0,923333333333333;0,85;0,816666666666667;0,862777777777778;0,955102040816327;0,915918367346939;0,931428571428571;0,942040816326531;0,926530612244898;0,929795918367347;0,933469387755102
5;15;0;0;0,9;0,9;0,8;0,9;1;1;0,916666666666667;0,9;0,7;1;0,7;0,9;0,9;0,85;0,888888888888889;0,955555555555556;0,911111111111111;0,955555555555556;0,933333333333333;0,911111111111111;0,925925925925926;0,977777777777778;0,911111111111111;0,933333333333333;0,866666666666667;0,955555555555556;0,933333333333333;0,92962962962963;0,933333333333333;0,888888888888889;0,733333333333333;0,777777777777778;0,955555555555556;0,844444444444444;0,855555555555556;0,931578947368421;0,973684210526316;0,921052631578947;0,921052631578947;0,936842105263158;0,857894736842105;0,923684210526316;0,866666666666667;0,952380952380952;0,980952380952381;0,942857142857143;0,980952380952381;0,952380952380952;0,946031746031746;0,866666666666667;0,771428571428571;0,904761904761905;0,857142857142857;0,914285714285714;0,8;0,852380952380952;0,905747126436782;0,942528735632184;0,931034482758621;0,896551724137931;0,937931034482759;0,91264367816092;0,921072796934866;0,926666666666667;0,896666666666667;0,92;0,94;0,926666666666667;0,95;0,926666666666667;0,85;0,853333333333333;0,893333333333333;0,856666666666667;0,896666666666667;0,883333333333333;0,872222222222222;0,925714285714286;0,897142857142857;0,928163265306122;0,937142857142857;0,929795918367347;0,921632653061225;0,923265306122449
6;15;0;0;1;0,9;1;0,9;0,9;1;0,95;0,9;1;0,9;0,9;0,8;0,9;0,9;0,977777777777778;0,977777777777778;0,977777777777778;0,955555555555556;0,955555555555556;0,933333333333333;0,962962962962963;0,977777777777778;0,955555555555556;0,911111111111111;0,911111111111111;0,955555555555556;0,977777777777778;0,948148148148148;0,822222222222222;0,888888888888889;0,955555555555556;0,822222222222222;0,933333333333333;0,733333333333333;0,859259259259259;0,963157894736842;0,968421052631579;0,873684210526316;0,952631578947368;0,973684210526316;0,931578947368421;0,943859649122807;0,904761904761905;0,942857142857143;0,980952380952381;0,980952380952381;0,923809523809524;0,942857142857143;0,946031746031746;0,895238095238095;0,857142857142857;0,895238095238095;0,933333333333333;0,914285714285714;0,733333333333333;0,871428571428571;0,949425287356322;0,960919540229885;0,947126436781609;0,928735632183908;0,954022988505747;0,905747126436782;0,940996168582376;0,946666666666667;0,953333333333333;0,91;0,94;0,943333333333333;0,963333333333333;0,942777777777778;0,916666666666667;0,8;0,863333333333333;0,903333333333333;0,866666666666667;0,77;0,853333333333333;0,947755102040816;0,935510204081633;0,959183673469388;0,944489795918367;0,929795918367347;0,933061224489796;0,941632653061224
7;15;0;0;1;1;0,9;1;0,8;1;0,95;0,8;0,9;0,7;0,8;0,8;1;0,833333333333333;0,933333333333333;1;0,955555555555556;0,955555555555556;0,955555555555556;0,977777777777778;0,962962962962963;0,955555555555556;0,933333333333333;0,844444444444444;0,911111111111111;0,955555555555556;0,977777777777778;0,92962962962963;0,822222222222222;0,888888888888889;0,777777777777778;0,888888888888889;0,888888888888889;0,888888888888889;0,859259259259259;0,868421052631579;0,931578947368421;0,910526315789474;0,942105263157895;0,91578947368421;0,952631578947368;0,920175438596491;0,933333333333333;0,885714285714286;0,971428571428571;0,895238095238095;0,933333333333333;0,904761904761905;0,920634920634921;0,866666666666667;0,847619047619048;0,733333333333333;0,8;0,857142857142857;0,904761904761905;0,834920634920635;0,931034482758621;0,95632183908046;0,928735632183908;0,940229885057471;0,910344827586207;0,910344827586207;0,929501915708812;0,963333333333333;0,94;0,946666666666667;0,956666666666667;0,966666666666667;0,9;0,945555555555556;0,726666666666667;0,86;0,736666666666667;0,78;0,85;0,873333333333333;0,804444444444445;0,909387755102041;0,924081632653061;0,907755102040816;0,911020408163265;0,929795918367347;0,947755102040816;0,921632653061224
8;15;0;0;0,9;1;1;1;1;0,9;0,966666666666667;0,8;0,8;1;1;0,9;0,7;0,866666666666667;0,866666666666667;0,977777777777778;0,955555555555556;0,911111111111111;0,977777777777778;0,911111111111111;0,933333333333333;0,911111111111111;0,977777777777778;0,977777777777778;0,955555555555556;0,955555555555556;0,911111111111111;0,948148148148148;0,733333333333333;0,933333333333333;0,911111111111111;0,888888888888889;0,977777777777778;0,822222222222222;0,877777777777778;0,963157894736842;0,957894736842105;0,9;0,952631578947368;0,952631578947368;0,936842105263158;0,943859649122807;0,933333333333333;0,952380952380952;0,971428571428571;0,933333333333333;0,923809523809524;0,961904761904762;0,946031746031746;0,723809523809524;0,895238095238095;0,8;0,914285714285714;0,885714285714286;0,761904761904762;0,83015873015873;0,894252873563218;0,967816091954023;0,914942528735632;0,949425287356322;0,931034482758621;0,924137931034483;0,930268199233717;0,953333333333333;0,94;0,91;0,953333333333333;0,953333333333333;0,94;0,941666666666667;0,836666666666667;0,91;0,87;0,936666666666667;0,87;0,846666666666667;0,878333333333333;0,925714285714286;0,950204081632653;0,94530612244898;0,946122448979592;0,930612244897959;0,918367346938776;0,936054421768707
9;15;0;0;0,9;1;1;1;1;0,9;0,966666666666667;0,9;0,9;0,8;0,6;0,8;0,7;0,783333333333333;0,977777777777778;0,955555555555556;0,866666666666667;0,888888888888889;0,955555555555556;0,977777777777778;0,937037037037037;0,933333333333333;0,822222222222222;0,955555555555556;0,955555555555556;0,888888888888889;0,888888888888889;0,907407407407407;0,866666666666667;0,844444444444444;0,755555555555556;0,777777777777778;0,844444444444444;0,866666666666667;0,825925925925926;0,947368421052632;0,952631578947368;0,878947368421053;0,826315789473684;0,9;0,805263157894737;0,885087719298246;0,933333333333333;0,923809523809524;0,952380952380952;0,933333333333333;0,971428571428571;0,942857142857143;0,942857142857143;0,780952380952381;0,914285714285714;0,809523809523809;0,533333333333333;0,904761904761905;0,847619047619048;0,798412698412698;0,926436781609195;0,937931034482759;0,901149425287356;0,894252873563218;0,92183908045977;0,926436781609195;0,918007662835249;0,93;0,933333333333333;0,963333333333333;0,93;0,93;0,93;0,936111111111111;0,906666666666667;0,926666666666667;0,73;0,546666666666667;0,86;0,823333333333333;0,798888888888889;0,946122448979592;0,931428571428571;0,911020408163265;0,901224489795918;0,942040816326531;0,904489795918367;0,922721088435374
10;15;0;0;0,9;0,9;1;1;1;1;0,966666666666667;0,8;0,9;0,9;0,9;1;0,9;0,9;0,911111111111111;0,955555555555556;0,955555555555556;0,933333333333333;0,977777777777778;0,955555555555556;0,948148148148148;0,866666666666667;0,911111111111111;0,955555555555556;0,977777777777778;0,933333333333333;0,844444444444444;0,914814814814815;0,844444444444444;0,888888888888889;0,955555555555556;0,844444444444444;0,777777777777778;0,888888888888889;0,866666666666667;0,921052631578947;0,931578947368421;0,873684210526316;0,957894736842105;0,947368421052632;0,942105263157895;0,928947368421053;0,952380952380952;0,942857142857143;0,933333333333333;0,933333333333333;0,933333333333333;0,885714285714286;0,93015873015873;0,895238095238095;0,79047619047619;0,923809523809524;0,866666666666667;0,885714285714286;0,895238095238095;0,876190476190476;0,942528735632184;0,949425287356322;0,951724137931035;0,949425287356322;0,944827586206897;0,92183908045977;0,943295019157088;0,953333333333333;0,943333333333333;0,933333333333333;0,956666666666667;0,94;0,943333333333333;0,945;0,873333333333333;0,846666666666667;0,883333333333333;0,933333333333333;0,806666666666667;0,866666666666667;0,868333333333333;0,930612244897959;0,903673469387755;0,940408163265306;0,949387755102041;0,938775510204082;0,938775510204082;0,933605442176871
11;15;0;0;0,9;0,7;1;0,9;0,9;1;0,9;0,9;0,9;0,8;0,9;1;0,9;0,9;0,955555555555556;1;0,911111111111111;0,933333333333333;0,911111111111111;0,911111111111111;0,937037037037037;0,933333333333333;0,933333333333333;0,955555555555556;1;0,977777777777778;0,933333333333333;0,955555555555556;0,822222222222222;0,8;0,911111111111111;0,822222222222222;0,977777777777778;0,6;0,822222222222222;0,926315789473684;0,957894736842105;0,910526315789474;0,91578947368421;0,947368421052632;0,921052631578947;0,929824561403509;0,904761904761905;0,952380952380952;0,904761904761905;0,971428571428571;0,942857142857143;0,942857142857143;0,936507936507937;0,79047619047619;0,866666666666667;0,876190476190476;0,838095238095238;0,914285714285714;0,676190476190476;0,826984126984127;0,944827586206897;0,928735632183908;0,926436781609195;0,919540229885057;0,931034482758621;0,91264367816092;0,9272030651341;0,926666666666667;0,936666666666667;0,953333333333333;0,92;0,94;0,91;0,931111111111111;0,83;0,89;0,876666666666667;0,833333333333333;0,88;0,753333333333333;0,843888888888889;0,929795918367347;0,923265306122449;0,936326530612245;0,944489795918367;0,942857142857143;0,889795918367347;0,927755102040816
12;15;0;0;0,9;0,7;1;1;1;1;0,933333333333333;0,6;1;0,9;0,7;0,8;0,9;0,816666666666667;0,955555555555556;0,955555555555556;0,933333333333333;0,911111111111111;0,933333333333333;0,933333333333333;0,937037037037037;0,911111111111111;0,911111111111111;0,955555555555556;0,911111111111111;0,933333333333333;0,955555555555556;0,92962962962963;0,911111111111111;0,955555555555556;0,955555555555556;0,733333333333333;0,711111111111111;0,888888888888889;0,859259259259259;0,921052631578947;0,942105263157895;0,957894736842105;0,91578947368421;0,884210526315789;0,910526315789474;0,921929824561403;0,952380952380952;0,942857142857143;0,942857142857143;0,952380952380952;0,952380952380952;0,942857142857143;0,947619047619048;0,866666666666667;0,895238095238095;0,904761904761905;0,647619047619048;0,828571428571429;0,704761904761905;0,807936507936508;0,857471264367816;0,937931034482759;0,933333333333333;0,910344827586207;0,937931034482759;0,91264367816092;0,914942528735632;0,953333333333333;0,89;0,956666666666667;0,906666666666667;0,923333333333333;0,946666666666667;0,929444444444445;0,863333333333333;0,883333333333333;0,903333333333333;0,81;0,81;0,726666666666667;0,832777777777778;0,931428571428571;0,942857142857143;0,943673469387755;0,91265306122449;0,864489795918367;0,926530612244898;0,920272108843537
13;15;0;0;1;1;0,9;0,8;0,9;1;0,933333333333333;0,9;0,9;0,4;0,8;0,9;1;0,816666666666667;0,955555555555556;0,911111111111111;0,866666666666667;0,911111111111111;0,977777777777778;0,977777777777778;0,933333333333333;0,866666666666667;0,955555555555556;0,955555555555556;0,911111111111111;0,955555555555556;0,977777777777778;0,937037037037037;0,711111111111111;0,777777777777778;0,755555555555556;0,377777777777778;0,644444444444445;0,8;0,677777777777778;0,91578947368421;0,936842105263158;0,873684210526316;0,847368421052631;0,942105263157895;0,968421052631579;0,914035087719298;0,980952380952381;0,933333333333333;0,971428571428571;0,933333333333333;0,933333333333333;0,942857142857143;0,949206349206349;0,780952380952381;0,838095238095238;0,761904761904762;0,695238095238095;0,904761904761905;0,914285714285714;0,815873015873016;0,933333333333333;0,951724137931035;0,940229885057471;0,947126436781609;0,924137931034483;0,903448275862069;0,933333333333333;0,906666666666667;0,926666666666667;0,953333333333333;0,93;0,893333333333333;0,956666666666667;0,927777777777778;0,79;0,8;0,356666666666667;0,58;0,89;0,876666666666667;0,715555555555556;0,937959183673469;0,924897959183673;0,859591836734694;0,897142857142857;0,94530612244898;0,937959183673469;0,917142857142857
14;15;0;0;1;0,9;1;0,9;1;0,9;0,95;1;1;0,7;0,9;1;1;0,933333333333333;0,955555555555556;0,977777777777778;0,911111111111111;1;0,977777777777778;0,933333333333333;0,959259259259259;0,955555555555556;0,977777777777778;0,955555555555556;0,866666666666667;0,911111111111111;0,911111111111111;0,92962962962963;0,933333333333333;0,755555555555556;0,688888888888889;0,866666666666667;0,933333333333333;0,822222222222222;0,833333333333333;0,942105263157895;0,852631578947368;0,942105263157895;0,947368421052632;0,952631578947368;0,947368421052632;0,930701754385965;0,952380952380952;0,952380952380952;0,885714285714286;0,971428571428571;0,942857142857143;0,942857142857143;0,941269841269841;0,876190476190476;0,857142857142857;0,714285714285714;0,914285714285714;0,933333333333333;0,876190476190476;0,861904761904762;0,954022988505747;0,905747126436782;0,91264367816092;0,919540229885057;0,924137931034483;0,924137931034483;0,923371647509579;0,936666666666667;0,926666666666667;0,946666666666667;0,923333333333333;0,923333333333333;0,933333333333333;0,931666666666667;0,84;0,783333333333333;0,806666666666667;0,876666666666667;0,883333333333333;0,873333333333333;0,843888888888889;0,939591836734694;0,926530612244898;0,890612244897959;0,942857142857143;0,924081632653061;0,893061224489796;0,919455782312925
15;15;0;0;1;0,7;0,9;1;0,7;1;0,883333333333333;0,9;0,9;0,9;1;0,7;0,7;0,85;0,933333333333333;0,933333333333333;0,955555555555556;0,933333333333333;0,888888888888889;0,955555555555556;0,933333333333333;0,955555555555556;0,977777777777778;0,933333333333333;0,888888888888889;0,866666666666667;0,888888888888889;0,918518518518519;0,888888888888889;0,844444444444444;0,844444444444444;0,822222222222222;0,888888888888889;0,888888888888889;0,862962962962963;0,957894736842105;0,852631578947368;0,910526315789474;0,926315789473684;0,884210526315789;0,931578947368421;0,910526315789474;0,942857142857143;0,942857142857143;0,933333333333333;0,923809523809524;0,952380952380952;0,961904761904762;0,942857142857143;0,933333333333333;0,895238095238095;0,819047619047619;0,933333333333333;0,819047619047619;0,885714285714286;0,880952380952381;0,928735632183908;0,908045977011494;0,926436781609195;0,944827586206897;0,942528735632184;0,940229885057471;0,931800766283525;0,87;0,93;0,913333333333333;0,956666666666667;0,926666666666667;0,886666666666667;0,913888888888889;0,93;0,836666666666667;0,763333333333333;0,863333333333333;0,843333333333333;0,863333333333333;0,85;0,951020408163265;0,920816326530612;0,918367346938776;0,942857142857143;0,888979591836735;0,900408163265306;0,920408163265306
